Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank
Nikola Jović,MIA,PF,47.0,17.2,7.3,2.2,0.5,2.7,3.3,0.6,0.4,1.4,1.4,0.366,1.0,3.6,0.269,0.438,9.5,0.48,21.4,-3.5,-0.1,-3.5,-0.3,4445417.0,15.279069767441861,4.604651162790698,5.651162790697676,1.0465116279069768,1.255813953488372,0.8372093023255816,2.9302325581395348,2.9302325581395348,37.203488372093034,34.97620186046514,False,0.016588854338390507,16.588854338390508,239.0,146.0
Kelly Oubre Jr.,PHI,SF,50.0,31.5,14.1,1.6,1.0,4.0,5.0,1.4,0.5,1.4,2.5,0.467,1.7,4.8,0.36,0.546,13.0,0.58,18.2,-1.3,-0.1,-1.4,0.2,8382150.0,16.114285714285714,1.8285714285714285,4.571428571428571,1.1428571428571428,1.5999999999999999,0.5714285714285714,1.5999999999999999,2.8571428571428568,34.308571428571426,34.89973577142857,False,0.01205436741975346,12.05436741975346,240.0,239.0
Julian Strawther,DEN,SG,57.0,15.1,7.2,1.1,0.2,1.8,2.0,0.4,0.1,0.6,1.3,0.467,1.0,2.6,0.387,0.558,12.5,0.59,19.4,-1.2,-1.1,-2.3,-0.1,2674200.0,17.165562913907287,2.6225165562913912,4.291390728476822,0.4768211920529802,0.9536423841059604,0.2384105960264901,1.4304635761589404,3.099337748344371,34.90331125827815,34.71991215894041,False,0.021231548763550247,21.231548763550247,241.0,83.0
Yanic Konan Niederhäuser,LAC,C,41.0,10.3,4.3,0.3,0.9,2.0,2.9,0.1,0.7,0.6,1.6,0.64,0.0,0.1,0.2,0.645,16.4,0.691,15.7,-2.6,0.4,-2.2,0.0,2743800.0,15.029126213592232,1.0485436893203883,6.990291262135922,3.145631067961165,0.3495145631067961,2.4466019417475726,2.0970873786407767,5.592233009708737,35.16116504854368,34.683173784466014,False,0.020938357281736642,20.938357281736643,242.0,87.0
Jaden Hardy,2TM,SG,57.0,15.8,9.2,1.0,0.3,1.2,1.5,0.3,0.1,1.1,1.6,0.424,1.8,4.6,0.397,0.545,10.9,0.566,24.4,-1.5,-3.3,-4.8,-0.6,6000000.0,20.96202531645569,2.2784810126582276,2.734177215189873,0.6835443037974682,0.6835443037974682,0.22784810126582278,2.5063291139240507,3.6455696202531644,36.53544303797467,34.428520332911376,True,0.014055384569111418,14.055384569111418,243.0,190.0
Egor Dёmin,BRK,PG,52.0,25.2,10.3,3.3,0.4,2.8,3.2,0.8,0.3,1.7,1.8,0.399,2.4,6.2,0.385,0.537,11.3,0.561,18.8,-0.9,-0.7,-1.6,0.1,6889200.0,14.714285714285715,4.714285714285714,4.0,0.5714285714285715,1.142857142857143,0.42857142857142855,2.4285714285714284,2.5714285714285716,34.1,34.420480950000005,False,0.013113920238736554,13.113920238736554,244.0,210.0
Jared McCain,2TM,SG,67.0,17.3,8.3,1.3,0.3,1.7,2.0,0.5,0.1,0.8,1.2,0.425,1.5,3.8,0.385,0.528,11.6,0.551,20.7,-1.6,-0.8,-2.4,-0.1,4221360.0,17.271676300578036,2.7052023121387285,3.53757225433526,0.6242774566473988,1.0404624277456647,0.20809248554913293,1.6647398843930634,2.497109826589595,34.64739884393064,34.404792424855486,True,0.016745292832435976,16.745292832435975,245.0,142.0
Tidjane Salaün,CHO,PF,37.0,15.5,6.0,0.7,0.7,3.3,4.0,0.4,0.2,0.7,1.5,0.503,1.0,2.2,0.434,0.616,12.9,0.629,14.9,-1.2,0.4,-0.8,0.2,7863240.0,13.935483870967742,1.6258064516129032,7.664516129032258,1.6258064516129032,0.9290322580645162,0.4645161290322581,1.6258064516129032,3.4838709677419355,33.468387096774194,34.14906780580646,False,0.012178059377482538,12.178059377482539,246.0,237.0
Davion Mitchell,MIA,PG,70.0,28.6,9.3,6.5,0.5,2.2,2.7,1.0,0.2,1.5,2.6,0.49,1.3,3.3,0.395,0.574,12.1,0.582,13.6,-1.3,0.4,-0.9,0.6,11600000.0,11.706293706293707,8.181818181818182,2.769230769230769,0.6293706293706293,1.2587412587412585,0.2517482517482518,1.8881118881118881,3.272727272727273,34.2944055944056,34.00283383426574,False,0.009983575774139759,9.983575774139759,247.0,303.0
Ron Holland,DET,SF,78.0,19.9,8.2,1.2,1.1,3.0,4.0,1.2,0.3,1.2,2.3,0.432,0.6,2.5,0.253,0.478,11.7,0.525,18.9,-3.3,1.4,-2.0,0.0,8657280.0,14.834170854271356,2.170854271356784,5.42713567839196,1.989949748743719,2.170854271356784,0.542713567839196,2.170854271356784,4.160804020100502,34.29045226130653,33.89114802135677,False,0.011518489964841946,11.518489964841946,248.0,256.0
Ace Bailey,UTA,SF,72.0,27.6,13.8,1.8,1.4,2.8,4.2,0.8,0.7,1.5,2.7,0.443,1.9,5.5,0.344,0.52,11.6,0.533,21.4,-1.9,-2.5,-4.4,-1.2,9069840.0,18.0,2.3478260869565215,3.652173913043478,1.826086956521739,1.0434782608695652,0.9130434782608695,1.9565217391304348,3.5217391304347827,36.75652173913043,33.80931135652173,False,0.011226296597666286,11.226296597666286,249.0,265.0
Steven Adams,HOU,C,32.0,22.8,5.8,1.5,4.5,4.1,8.6,0.7,0.6,1.1,1.7,0.504,0.0,0.0,0.0,0.504,15.8,0.535,12.1,-0.1,-0.3,-0.5,0.3,14130434.0,9.157894736842104,2.3684210526315788,6.473684210526315,7.105263157894737,1.1052631578947367,0.9473684210526315,1.736842105263158,2.6842105263157894,34.23947368421053,33.7685992993421,False,0.00898328744370932,8.98328744370932,250.0,335.0
Draymond Green,GSW,PF,68.0,27.5,8.4,5.5,0.8,4.7,5.5,0.9,0.6,2.7,2.9,0.418,1.5,4.6,0.326,0.52,10.4,0.54,16.1,-2.4,1.0,-1.4,0.3,25892857.0,10.996363636363638,7.2,6.152727272727273,1.0472727272727274,1.1781818181818182,0.7854545454545454,3.5345454545454547,3.7963636363636364,34.26545454545455,33.75485765454546,False,0.006633554391676816,6.633554391676816,251.0,372.0
Royce O'Neale,PHO,SF,78.0,28.4,9.8,2.7,0.8,4.0,4.8,1.1,0.4,1.3,2.3,0.421,2.7,6.7,0.408,0.59,11.6,0.596,14.3,-0.3,1.0,0.7,1.5,10125000.0,12.422535211267608,3.422535211267606,5.070422535211268,1.0140845070422537,1.3943661971830987,0.5070422535211269,1.647887323943662,2.915492957746479,31.35422535211268,33.71034831760563,False,0.010594140396239762,10.594140396239762,252.0,283.0
Luke Kennard,2TM,SG,78.0,21.6,8.4,2.2,0.4,1.9,2.3,0.7,0.1,0.8,1.3,0.533,1.5,3.1,0.478,0.665,13.5,0.689,13.5,0.1,0.1,0.1,0.9,11000000.0,14.0,3.666666666666667,3.166666666666666,0.6666666666666666,1.1666666666666665,0.16666666666666666,1.3333333333333333,2.1666666666666665,31.600000000000005,33.674853500000005,True,0.01015335035724421,10.15335035724421,253.0,298.0
Brook Lopez,LAC,C,75.0,21.8,8.5,1.3,0.6,3.0,3.6,0.6,1.2,0.8,2.1,0.428,1.5,4.2,0.36,0.533,12.3,0.552,17.2,-1.3,0.4,-0.9,0.5,8750000.0,14.036697247706421,2.146788990825688,4.954128440366973,0.9908256880733944,0.9908256880733944,1.9816513761467889,1.3211009174311927,3.467889908256881,32.829357798165134,33.476564609174304,False,0.011317144405255096,11.317144405255096,254.0,261.0
Tristan Da Silva,ORL,SF,77.0,24.7,9.9,1.6,0.8,2.9,3.7,0.9,0.3,0.9,1.5,0.45,1.6,4.2,0.374,0.547,12.0,0.576,16.2,-0.7,0.1,-0.6,0.7,3809520.0,14.429149797570851,2.331983805668016,4.226720647773279,1.165991902834008,1.3117408906882593,0.43724696356275305,1.3117408906882593,2.1862348178137654,32.400000000000006,33.33150720000001,False,0.017077324200345634,17.077324200345632,255.0,135.0
Blake Wesley,POR,SG,31.0,11.6,4.8,2.0,0.3,1.0,1.3,0.5,0.2,1.0,1.1,0.452,0.3,1.2,0.278,0.492,10.8,0.511,19.8,-3.7,0.1,-3.6,-0.1,5643732.0,14.89655172413793,6.206896551724139,3.1034482758620694,0.9310344827586207,1.5517241379310347,0.6206896551724138,3.1034482758620694,3.4137931034482762,35.82931034482759,33.19110524482759,False,0.013971354848927687,13.971354848927687,256.0,192.0
Kasparas Jakučionis,MIA,PG,53.0,17.8,6.2,2.6,0.8,1.8,2.6,0.6,0.1,0.9,1.9,0.429,1.2,2.9,0.423,0.567,11.9,0.614,13.7,-1.0,0.6,-0.4,0.4,3658800.0,12.53932584269663,5.258426966292134,3.640449438202247,1.6179775280898876,1.2134831460674156,0.20224719101123595,1.8202247191011236,3.842696629213483,32.42022471910113,33.110695553932594,False,0.017310075768073006,17.310075768073006,257.0,128.0
Cason Wallace,OKC,SG,77.0,26.6,8.6,2.6,0.8,2.3,3.1,1.9,0.4,0.9,2.0,0.432,1.3,3.7,0.351,0.518,12.1,0.538,14.5,-2.1,3.3,1.2,1.7,5820240.0,11.639097744360901,3.518796992481203,3.1127819548872178,1.0827067669172932,2.571428571428571,0.5413533834586466,1.218045112781955,2.706766917293233,30.34285714285714,33.032737285714276,False,0.0136922278232321,13.6922278232321,258.0,196.0
Sam Hauser,BOS,PF,78.0,24.8,9.2,1.5,0.7,3.1,3.8,0.5,0.3,0.4,1.4,0.419,2.5,6.5,0.393,0.584,11.9,0.59,14.5,0.6,0.0,0.6,1.3,10044644.0,13.354838709677418,2.1774193548387095,4.5,1.0161290322580643,0.7258064516129032,0.43548387096774194,0.5806451612903225,2.0322580645161286,30.810483870967737,33.012611945564515,False,0.01041627920041438,10.41627920041438,259.0,291.0
Khris Middleton,2TM,SF,63.0,22.8,10.2,2.8,0.8,2.9,3.7,0.7,0.1,1.7,2.3,0.42,1.1,3.0,0.36,0.482,10.9,0.533,20.6,-2.8,-1.5,-4.4,-0.9,33296296.0,16.105263157894736,4.421052631578947,4.578947368421052,1.263157894736842,1.1052631578947367,0.15789473684210525,2.6842105263157894,3.631578947368421,35.992105263157896,32.82141795789474,True,0.005687997249984328,5.687997249984328,260.0,380.0
Oso Ighodaro,PHO,PF,82.0,22.0,6.5,2.3,1.7,3.4,5.1,0.9,0.7,1.2,2.7,0.653,0.0,0.0,0.0,0.653,13.8,0.636,12.2,-2.2,2.3,0.1,0.9,1955377.0,10.636363636363637,3.7636363636363632,5.5636363636363635,2.7818181818181817,1.4727272727272727,1.1454545454545453,1.9636363636363636,4.418181818181819,31.680000000000003,32.75974464,False,0.023427462778566572,23.42746277856657,261.0,65.0
Ziaire Williams,BRK,SF,56.0,22.9,10.2,1.1,0.5,1.9,2.4,1.4,0.4,1.1,2.1,0.425,1.5,4.5,0.343,0.524,12.4,0.579,18.9,-2.0,0.4,-1.7,0.1,6250000.0,16.034934497816593,1.7292576419213976,2.986899563318777,0.7860262008733625,2.2008733624454146,0.6288209606986901,1.7292576419213976,3.3013100436681224,32.10131004366813,32.445819571179044,False,0.012978327828471617,12.978327828471617,262.0,213.0
Cameron Johnson,DEN,SF,54.0,30.5,12.2,2.4,0.8,3.0,3.8,0.7,0.4,0.9,2.3,0.48,2.0,4.7,0.43,0.596,12.8,0.629,15.1,0.3,-0.9,-0.6,0.6,21057065.0,14.399999999999999,2.8327868852459015,3.540983606557377,0.9442622950819672,0.8262295081967213,0.4721311475409836,1.0622950819672132,2.7147540983606553,31.502950819672122,32.43980124885245,False,0.00706934645080076,7.069346450800761,263.0,366.0
Toumani Camara,POR,PF,82.0,33.3,13.4,2.5,1.6,3.6,5.1,1.1,0.4,1.8,2.9,0.44,2.7,7.2,0.37,0.563,11.3,0.578,16.3,-1.0,0.0,-1.0,0.7,2221677.0,14.486486486486488,2.7027027027027026,3.891891891891892,1.72972972972973,1.1891891891891895,0.4324324324324325,1.945945945945946,3.1351351351351355,31.935135135135138,32.289879881081085,False,0.02166336763647254,21.66336763647254,264.0,75.0
Jevon Carter,2TM,PG,53.0,16.4,6.4,1.6,0.3,1.4,1.7,0.8,0.2,0.7,1.1,0.401,1.5,4.1,0.363,0.528,10.7,0.537,17.0,-1.4,0.4,-1.1,0.2,7680524.0,14.04878048780488,3.51219512195122,3.073170731707317,0.6585365853658538,1.75609756097561,0.4390243902439025,1.5365853658536586,2.4146341463414642,32.015853658536585,32.2746445792683,True,0.01164571192806642,11.64571192806642,265.0,252.0
Zaccharie Risacher,ATL,SF,67.0,22.4,9.6,1.1,1.1,2.8,3.8,0.9,0.5,0.9,2.2,0.455,1.4,3.9,0.368,0.544,11.8,0.557,17.6,-2.3,-0.2,-2.5,-0.2,13197720.0,15.42857142857143,1.767857142857143,4.5,1.767857142857143,1.4464285714285716,0.8035714285714286,1.4464285714285716,3.535714285714286,33.73392857142857,32.21949288482143,False,0.008868889531862177,8.868889531862177,266.0,337.0
Tre Johnson,WAS,SG,60.0,24.1,12.2,2.0,0.5,2.4,2.8,0.6,0.3,1.6,2.0,0.419,1.9,5.4,0.358,0.508,10.6,0.535,22.5,-2.1,-2.9,-5.0,-1.1,8237640.0,18.224066390041493,2.987551867219917,3.5850622406639,0.7468879668049793,0.896265560165975,0.4481327800829875,2.3900414937759336,2.987551867219917,35.738589211618255,32.215624092323644,False,0.01122445194078156,11.22445194078156,267.0,266.0
Yves Missi,NOP,C,66.0,19.7,5.7,1.3,2.8,3.1,5.8,0.3,1.5,0.8,1.7,0.544,0.0,0.0,0.0,0.544,15.0,0.556,12.6,-1.4,-0.3,-1.7,0.1,3353040.0,10.416243654822336,2.3756345177664975,5.66497461928934,5.116751269035533,0.5482233502538071,2.7411167512690358,1.4619289340101524,3.1065989847715736,34.2274111675127,32.158785478172604,False,0.01756225470640528,17.56225470640528,268.0,123.0
Kentavious Caldwell-Pope,MEM,SG,51.0,21.3,8.4,2.7,0.4,2.1,2.5,0.8,0.2,1.2,1.1,0.41,1.1,3.4,0.316,0.485,11.0,0.533,17.7,-2.3,-0.2,-2.5,-0.1,21621500.0,14.19718309859155,4.563380281690141,3.5492957746478875,0.676056338028169,1.352112676056338,0.3380281690140845,2.028169014084507,1.859154929577465,33.726760563380296,32.03907608661973,False,0.006890283222764569,6.890283222764569,269.0,370.0
Noah Clowney,BRK,PF,66.0,27.0,12.3,1.6,0.8,3.3,4.1,0.8,0.7,1.5,2.5,0.396,2.0,5.9,0.329,0.498,11.2,0.554,20.4,-2.3,-1.1,-3.4,-0.6,3398640.0,16.400000000000002,2.1333333333333333,4.3999999999999995,1.0666666666666667,1.0666666666666667,0.9333333333333333,2.0,3.333333333333333,33.92666666666667,32.03541687333333,False,0.01737711989344987,17.37711989344987,270.0,127.0
Will Riley,WAS,SF,74.0,22.1,10.3,2.0,0.8,2.1,2.9,0.7,0.1,1.3,1.2,0.439,1.1,3.3,0.316,0.502,12.1,0.548,20.2,-1.9,-2.6,-4.5,-1.0,3512520.0,16.778280542986426,3.257918552036199,3.420814479638009,1.3031674208144794,1.1402714932126696,0.16289592760180993,2.1176470588235294,1.9547511312217192,35.42986425339367,31.90128923076923,False,0.017021539295252984,17.021539295252985,271.0,138.0
Jaylen Wells,MEM,SG,69.0,26.4,12.5,1.6,0.9,2.3,3.2,0.9,0.1,1.1,2.1,0.431,1.9,5.3,0.353,0.524,11.5,0.559,19.3,-1.8,-1.4,-3.1,-0.5,1955377.0,17.045454545454547,2.181818181818182,3.1363636363636362,1.2272727272727275,1.2272727272727275,0.13636363636363638,1.5000000000000002,2.863636363636364,33.831818181818186,31.8892281715909,False,0.022804930692743103,22.804930692743103,272.0,68.0
Aaron Nesmith,IND,SF,45.0,29.7,13.8,1.9,1.1,3.1,4.2,0.6,0.5,1.4,2.8,0.414,2.3,6.2,0.379,0.517,10.8,0.554,19.8,-1.7,-1.6,-3.4,-0.5,11000000.0,16.72727272727273,2.303030303030303,3.757575757575758,1.3333333333333335,0.7272727272727272,0.6060606060606061,1.696969696969697,3.393939393939394,33.78181818181819,31.816374254545472,False,0.009592997781077348,9.592997781077347,273.0,315.0
John Konchar,2TM,SG,56.0,19.9,4.4,2.1,1.3,3.0,4.3,1.5,0.7,0.6,1.4,0.472,0.5,1.8,0.283,0.543,13.6,0.568,9.4,-1.3,2.2,0.9,0.8,6165000.0,7.959798994974876,3.7989949748743723,5.42713567839196,2.351758793969849,2.71356783919598,1.2663316582914572,1.085427135678392,2.5326633165829144,30.925628140703527,31.769932269346743,True,0.012795278658343796,12.795278658343797,274.0,225.0
Guerschon Yabusele,2TM,C,67.0,15.0,5.6,0.9,0.8,2.7,3.5,0.4,0.2,0.6,1.2,0.401,1.0,2.9,0.352,0.511,11.1,0.543,16.1,-1.7,-0.5,-2.2,-0.1,5500000.0,13.439999999999998,2.16,6.48,1.9200000000000002,0.9600000000000001,0.48000000000000004,1.44,2.88,33.252,31.519607348999997,True,0.013440005732108726,13.440005732108725,275.0,199.0
Jett Howard,ORL,SF,55.0,12.6,5.5,0.8,0.4,1.2,1.6,0.2,0.2,0.3,1.2,0.418,1.0,2.6,0.372,0.526,11.2,0.561,17.2,-0.8,-1.1,-1.8,0.0,5529720.0,15.714285714285715,2.285714285714286,3.4285714285714284,1.142857142857143,0.5714285714285715,0.5714285714285715,0.8571428571428571,3.4285714285714284,32.314285714285724,31.504464300000016,False,0.013397400142667142,13.397400142667141,276.0,201.0
Jordan Clarkson,NYK,SG,72.0,17.8,8.6,1.3,0.9,0.9,1.8,0.4,0.1,0.9,1.7,0.451,1.0,3.0,0.327,0.517,11.6,0.548,21.1,-1.9,-1.4,-3.3,-0.4,12947835.0,17.39325842696629,2.629213483146067,1.8202247191011236,1.8202247191011236,0.8089887640449438,0.20224719101123595,1.8202247191011236,3.438202247191011,33.11797752808988,31.488286601123583,False,0.008750854269405887,8.750854269405886,277.0,342.0
Keegan Murray,SAC,PF,23.0,34.5,14.0,1.7,1.4,4.3,5.7,1.0,1.6,1.2,1.8,0.42,1.3,4.9,0.277,0.472,11.7,0.499,18.7,-2.0,-1.0,-3.1,-0.2,11144093.0,14.608695652173914,1.7739130434782606,4.48695652173913,1.4608695652173913,1.0434782608695652,1.6695652173913045,1.2521739130434784,1.8782608695652177,33.83478260869565,31.455064636956514,False,0.00942254495384536,9.42254495384536,278.0,324.0
Keaton Wallace,ATL,PG,53.0,10.1,3.5,1.8,0.1,1.0,1.1,0.5,0.1,0.5,0.9,0.398,0.7,1.9,0.373,0.509,10.4,0.52,16.1,-3.0,0.3,-2.7,-0.1,2296274.0,12.475247524752476,6.415841584158416,3.5643564356435644,0.3564356435643564,1.7821782178217822,0.3564356435643564,1.7821782178217822,3.207920792079208,34.00396039603961,31.359344079207926,False,0.020694508490544872,20.694508490544873,279.0,89.0
Harrison Barnes,SAS,PF,77.0,25.8,9.9,1.9,0.8,2.0,2.8,0.6,0.2,0.8,1.1,0.456,1.8,4.6,0.388,0.577,11.8,0.608,14.6,-0.2,0.1,-0.1,1.0,19000000.0,13.813953488372093,2.6511627906976742,2.7906976744186047,1.1162790697674418,0.8372093023255813,0.27906976744186046,1.1162790697674418,1.5348837209302326,30.013953488372096,31.298380353488373,False,0.0071803408977555066,7.1803408977555065,280.0,364.0
Christian Braun,DEN,SG,44.0,31.8,12.0,2.7,1.4,3.4,4.8,0.7,0.3,1.0,2.3,0.519,1.0,3.3,0.301,0.575,12.6,0.607,14.8,-0.4,-0.9,-1.2,0.3,4921797.0,13.584905660377357,3.056603773584906,3.8490566037735845,1.5849056603773584,0.7924528301886792,0.33962264150943394,1.1320754716981132,2.6037735849056602,31.601886792452834,31.22080986509434,False,0.014072858334319774,14.072858334319774,281.0,189.0
Max Christie,DAL,SG,77.0,29.1,12.3,2.0,0.2,3.0,3.2,0.6,0.4,1.2,1.3,0.441,2.3,5.8,0.404,0.566,11.0,0.601,16.5,-1.0,-0.6,-1.5,0.3,7714286.0,15.216494845360824,2.474226804123711,3.7113402061855667,0.24742268041237114,0.7422680412371134,0.4948453608247423,1.4845360824742269,1.6082474226804124,31.49072164948453,31.169227368556697,False,0.011222204255811045,11.222204255811045,282.0,267.0
E.J. Liddell,BRK,PF,26.0,13.4,5.7,0.9,0.5,2.1,2.7,0.2,0.4,0.6,1.7,0.486,0.7,2.0,0.346,0.568,12.6,0.6,17.2,-2.2,-1.2,-3.3,-0.1,706898.0,15.313432835820896,2.417910447761194,5.64179104477612,1.3432835820895521,0.5373134328358209,1.0746268656716418,1.6119402985074627,4.567164179104478,33.79701492537314,31.167576716417923,False,0.03707017708480332,37.07017708480332,283.0,8.0
Jeremy Sochan,2TM,PF,44.0,10.7,3.6,0.9,0.8,1.6,2.4,0.4,0.2,0.5,1.4,0.496,0.3,1.0,0.244,0.539,12.2,0.563,14.6,-2.3,1.1,-1.2,0.1,7874853.0,12.112149532710282,3.0280373831775704,5.3831775700934585,2.6915887850467293,1.3457943925233646,0.6728971962616823,1.6822429906542058,4.710280373831775,31.760747663551403,31.12277813831776,True,0.011090653295929367,11.090653295929366,284.0,270.0
Taylor Hendricks,2TM,PF,59.0,18.9,7.4,0.9,1.1,2.6,3.7,0.8,0.5,0.8,1.7,0.459,1.1,3.1,0.342,0.548,12.2,0.566,16.2,-1.5,-0.9,-2.4,-0.1,6127080.0,14.095238095238097,1.7142857142857144,4.952380952380953,2.095238095238096,1.523809523809524,0.9523809523809524,1.523809523809524,3.2380952380952386,32.91428571428572,31.091591314285722,True,0.012560767446114174,12.560767446114173,285.0,227.0
Dalen Terry,2TM,SG,48.0,11.5,3.7,1.4,0.5,1.3,1.8,0.6,0.3,0.5,1.0,0.439,0.5,1.4,0.364,0.516,11.6,0.523,14.8,-2.4,0.8,-1.7,0.0,5399118.0,11.582608695652175,4.3826086956521735,4.069565217391304,1.5652173913043477,1.8782608695652172,0.9391304347826086,1.5652173913043477,3.1304347826086953,32.41565217391304,30.94560861130434,True,0.013317957320911473,13.317957320911473,286.0,202.0
Ousmane Dieng,2TM,C,57.0,19.3,7.6,2.4,0.5,2.6,3.2,0.4,0.3,1.3,1.4,0.422,1.1,3.2,0.341,0.501,10.2,0.516,19.7,-2.6,-1.2,-3.8,-0.5,6670882.0,14.176165803108807,4.476683937823834,4.849740932642487,0.9326424870466321,0.7461139896373057,0.5595854922279793,2.4248704663212437,2.61139896373057,33.9481865284974,30.874520082901544,True,0.011953871591029763,11.953871591029763,287.0,244.0
Justin Edwards,PHI,SF,64.0,15.3,6.0,1.3,0.4,1.1,1.5,0.8,0.2,0.6,1.4,0.447,1.0,2.8,0.372,0.552,12.1,0.572,16.1,-1.8,0.6,-1.3,0.2,2048494.0,14.117647058823529,3.058823529411765,2.588235294117647,0.9411764705882353,1.8823529411764706,0.47058823529411764,1.4117647058823528,3.2941176470588234,30.95294117647058,30.839040741176458,False,0.021546836321066975,21.546836321066976,288.0,78.0
Tre Mann,CHO,PG,53.0,12.6,5.5,1.6,0.4,1.4,1.7,0.5,0.1,1.0,1.3,0.36,0.9,2.9,0.323,0.442,8.3,0.462,23.3,-4.5,-0.8,-5.3,-0.5,8000000.0,15.714285714285715,4.571428571428572,4.0,1.142857142857143,1.4285714285714284,0.28571428571428575,2.8571428571428568,3.7142857142857144,35.12857142857143,30.683928621428574,False,0.010848407000828068,10.848407000828068,289.0,275.0
Walter Clayton,2TM,PG,69.0,20.4,7.8,4.0,0.4,1.7,2.0,0.6,0.3,1.7,1.7,0.384,1.1,3.5,0.307,0.465,10.3,0.523,18.5,-2.2,-2.1,-4.3,-0.8,3991320.0,13.764705882352942,7.058823529411765,3.0000000000000004,0.7058823529411766,1.0588235294117647,0.5294117647058824,3.0000000000000004,3.0000000000000004,34.747058823529414,30.6190744632353,True,0.015326175162648675,15.326175162648674,290.0,170.0
Derrick Jones Jr.,LAC,SF,50.0,27.0,10.1,1.4,1.2,2.2,3.5,0.9,1.0,0.8,2.1,0.499,1.1,3.1,0.359,0.571,13.3,0.6,15.1,-0.6,-0.1,-0.7,0.5,10000000.0,13.466666666666667,1.8666666666666667,2.9333333333333336,1.6,1.2,1.3333333333333333,1.0666666666666667,2.8,30.01333333333334,30.495514000000007,False,0.009643528265755208,9.643528265755208,291.0,314.0
Noah Penda,ORL,SF,59.0,12.8,3.8,1.2,1.1,2.0,3.2,0.5,0.3,0.7,1.2,0.404,0.5,1.6,0.323,0.478,11.3,0.506,14.8,-2.0,0.6,-1.5,0.1,1272870.0,10.687499999999998,3.3749999999999996,5.625,3.09375,1.40625,0.8437499999999999,1.9687499999999998,3.3749999999999996,31.7109375,30.3861747890625,False,0.02693295505037817,26.93295505037817,292.0,47.0
Jordan Walsh,BOS,PF,68.0,17.8,5.4,0.8,1.3,2.8,4.0,0.7,0.5,0.5,2.0,0.509,0.7,1.8,0.384,0.599,13.1,0.623,11.7,-1.4,1.6,0.2,0.7,2221677.0,10.921348314606742,1.6179775280898876,5.662921348314606,2.629213483146067,1.4157303370786516,1.0112359550561798,1.0112359550561798,4.044943820224719,29.457303370786516,30.373262948595503,False,0.020377504159134224,20.377504159134226,293.0,90.0
Landry Shamet,NYK,SG,51.0,23.0,9.3,1.4,0.5,1.4,1.8,0.6,0.2,0.6,1.5,0.437,2.0,5.2,0.392,0.578,11.2,0.598,15.7,-0.4,0.1,-0.3,0.5,2296274.0,14.556521739130437,2.1913043478260867,2.1913043478260867,0.7826086956521738,0.9391304347826086,0.3130434782608696,0.9391304347826086,2.3478260869565215,29.12086956521739,30.326289076956517,False,0.020012779770030395,20.012779770030395,294.0,96.0
Svi Mykhailiuk,UTA,SF,50.0,23.1,9.4,1.9,0.7,1.8,2.5,0.5,0.1,0.8,1.3,0.478,2.0,4.8,0.408,0.613,11.4,0.626,14.8,0.3,-2.0,-1.7,0.1,3675000.0,14.649350649350648,2.9610389610389607,2.8051948051948052,1.0909090909090908,0.7792207792207791,0.15584415584415584,1.2467532467532467,2.0259740259740258,31.145454545454548,30.289362381818187,False,0.015800159075209742,15.800159075209743,295.0,155.0
Drew Eubanks,SAC,C,42.0,13.1,5.2,0.5,0.9,2.1,3.0,0.4,0.6,0.7,1.4,0.596,0.0,0.2,0.143,0.599,13.6,0.605,16.3,-3.0,-0.7,-3.7,-0.2,2296274.0,14.290076335877865,1.3740458015267176,5.770992366412214,2.4732824427480917,1.099236641221374,1.6488549618320612,1.9236641221374045,3.847328244274809,33.52671755725192,30.153146335877867,False,0.01989852023972013,19.898520239720128,296.0,99.0
Lonzo Ball,CLE,PG,35.0,20.8,4.6,3.9,0.7,3.3,4.0,1.3,0.3,1.5,1.3,0.301,1.1,4.2,0.272,0.415,9.5,0.432,13.7,-2.9,1.8,-1.1,0.2,10000000.0,7.96153846153846,6.75,5.711538461538462,1.2115384615384615,2.25,0.5192307692307692,2.596153846153846,2.25,31.67307692307692,29.861417538461534,False,0.009443009358283714,9.443009358283714,297.0,323.0
Kevon Looney,NOP,C,21.0,14.7,2.8,1.6,2.3,3.3,5.6,0.4,0.5,0.4,1.6,0.417,0.1,0.6,0.154,0.433,13.6,0.458,9.9,-1.2,-0.6,-1.8,0.0,8000000.0,6.857142857142857,3.918367346938776,8.081632653061224,5.63265306122449,0.979591836734694,1.2244897959183674,0.979591836734694,3.918367346938776,33.783673469387764,29.8255863612245,False,0.010544937184443423,10.544937184443423,298.0,285.0
