Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank
Naji Marshall,DAL,SF,74.0,29.5,15.2,3.3,0.9,3.8,4.7,1.1,0.1,1.6,1.9,0.51,0.8,2.9,0.291,0.548,15.4,0.592,20.5,-0.7,0.1,-0.6,0.8,9000000.0,18.54915254237288,4.027118644067796,4.63728813559322,1.0983050847457627,1.3423728813559324,0.12203389830508476,1.9525423728813562,2.31864406779661,40.924067796610174,44.34728631864407,False,0.014782428772881358,14.782428772881358,151.0,180.0
Isaiah Collier,UTA,PG,59.0,25.7,11.7,7.2,0.4,2.2,2.5,1.1,0.3,2.5,2.3,0.495,0.5,1.7,0.27,0.521,14.8,0.567,20.4,-0.7,-1.8,-2.4,-0.2,2638200.0,16.389105058365757,10.085603112840467,3.08171206225681,0.5603112840466927,1.540856031128405,0.42023346303501946,3.501945525291829,3.2217898832684826,43.77431906614786,44.31439931906615,False,0.027282930004990474,27.282930004990472,152.0,44.0
Scoot Henderson,POR,PG,30.0,24.9,14.2,3.7,0.6,2.1,2.7,0.9,0.3,2.4,2.8,0.418,1.9,5.4,0.352,0.501,12.9,0.553,25.0,-1.7,-0.5,-2.2,0.0,10748040.0,20.53012048192771,5.349397590361447,3.0361445783132535,0.8674698795180723,1.3012048192771086,0.43373493975903615,3.4698795180722892,4.048192771084337,41.48674698795181,44.08097656626508,False,0.013445797622752175,13.445797622752176,153.0,198.0
Mikal Bridges,NYK,SF,82.0,32.8,14.4,3.7,1.0,2.8,3.8,1.3,0.8,1.0,2.0,0.49,1.9,5.1,0.371,0.571,15.3,0.587,17.3,1.3,1.4,2.7,3.2,24900000.0,15.80487804878049,4.060975609756098,3.073170731707317,1.0975609756097562,1.4268292682926833,0.878048780487805,1.0975609756097562,2.1951219512195124,37.05365853658537,43.72799316585366,False,0.00876314247955525,8.763142479555249,154.0,341.0
De'Anthony Melton,GSW,PG,49.0,23.0,12.3,2.6,0.8,2.4,3.2,1.6,0.4,1.9,1.9,0.407,1.5,5.0,0.294,0.475,13.4,0.518,25.4,-2.6,0.1,-2.5,-0.1,3080921.0,19.252173913043478,4.069565217391304,3.7565217391304344,1.2521739130434784,2.5043478260869567,0.6260869565217392,2.9739130434782606,2.9739130434782606,41.75999999999999,43.71307968,False,0.02490411558539769,24.90411558539769,155.0,59.0
Simone Fontecchio,MIA,SF,70.0,16.8,8.5,1.4,0.8,2.2,3.0,0.5,0.1,0.7,1.5,0.412,1.8,4.7,0.375,0.542,13.8,0.579,19.6,0.7,-0.2,0.5,0.7,8307692.0,18.214285714285715,3.0,4.714285714285714,1.7142857142857142,1.0714285714285714,0.21428571428571427,1.5,3.2142857142857144,39.27857142857143,43.67395672500001,False,0.015152432076698561,15.152432076698561,156.0,174.0
Cam Thomas,2TM,SG,42.0,21.0,13.5,2.6,0.3,1.4,1.7,0.2,0.1,1.8,1.0,0.41,1.2,4.0,0.31,0.466,12.6,0.53,30.3,-1.2,-3.9,-5.2,-0.7,6837779.0,23.142857142857146,4.457142857142857,2.4,0.5142857142857142,0.34285714285714286,0.17142857142857143,3.085714285714286,1.7142857142857142,43.01142857142858,43.55392290000001,True,0.016655963020201635,16.655963020201636,157.0,145.0
Dyson Daniels,ATL,SG,76.0,33.2,11.9,5.9,2.4,4.4,6.8,2.0,0.4,1.8,2.2,0.517,0.3,1.5,0.188,0.532,15.5,0.542,16.0,-0.6,1.8,1.3,2.1,7707709.0,12.903614457831324,6.397590361445783,4.771084337349398,2.602409638554217,2.1686746987951806,0.4337349397590361,1.9518072289156625,2.385542168674699,39.903614457831324,43.533394698795185,False,0.015680499015211295,15.680499015211295,158.0,159.0
Anthony Black,ORL,PG,64.0,29.8,15.0,3.7,0.7,3.1,3.8,1.4,0.7,2.1,2.7,0.447,1.6,4.7,0.333,0.512,13.7,0.549,22.2,-1.2,0.7,-0.6,0.7,7970280.0,18.120805369127513,4.469798657718121,3.7449664429530203,0.8456375838926173,1.6912751677852347,0.8456375838926173,2.536912751677852,3.2617449664429534,39.71476510067114,43.41011818791946,False,0.015376382678220982,15.376382678220983,159.0,168.0
Zach LaVine,SAC,SG,39.0,31.4,19.2,2.3,0.2,2.6,2.8,0.7,0.3,1.9,2.1,0.479,2.5,6.5,0.39,0.569,14.7,0.614,23.7,0.6,-2.2,-1.5,0.2,47499660.0,22.012738853503183,2.6369426751592355,2.980891719745223,0.22929936305732485,0.8025477707006369,0.34394904458598724,2.178343949044586,2.4076433121019107,39.95541401273885,43.35512215605095,False,0.006290644802893617,6.290644802893617,160.0,376.0
Daniss Jenkins,DET,PG,72.0,20.2,9.3,3.9,0.7,1.6,2.3,0.9,0.2,1.6,1.5,0.408,1.0,2.7,0.374,0.473,13.4,0.525,21.5,-0.8,0.1,-0.7,0.5,3809524.0,16.574257425742577,6.9504950495049505,2.8514851485148514,1.2475247524752473,1.603960396039604,0.3564356435643564,2.8514851485148514,2.673267326732673,40.33960396039604,43.254230662128705,False,0.022161198046684698,22.1611980466847,161.0,74.0
Cameron Payne,PHI,PG,22.0,17.0,7.4,2.6,0.1,1.9,2.0,1.1,0.3,0.5,1.4,0.376,1.5,4.4,0.33,0.483,14.4,0.514,19.2,-0.7,1.0,0.3,0.2,712637.0,15.670588235294119,5.5058823529411764,4.023529411764706,0.21176470588235294,2.3294117647058825,0.6352941176470588,1.0588235294117647,2.9647058823529413,39.86470588235295,43.17288570000001,False,0.05114190422374529,51.141904223745286,162.0,2.0
Luke Kornet,SAS,C,68.0,21.0,6.5,1.9,2.7,3.4,6.1,0.5,1.0,0.4,1.8,0.643,0.0,0.0,0.0,0.643,17.9,0.689,10.3,1.6,2.1,3.6,2.0,11000000.0,11.142857142857142,3.257142857142857,5.828571428571429,4.628571428571429,0.8571428571428571,1.7142857142857142,0.6857142857142857,3.085714285714286,36.57428571428572,42.92358929785715,False,0.012941949123300614,12.941949123300613,163.0,215.0
Leonard Miller,2TM,SF,46.0,15.6,7.8,0.9,1.2,2.8,3.9,0.4,0.3,0.8,1.4,0.553,0.7,2.2,0.323,0.615,15.9,0.633,18.7,-0.2,-1.1,-1.3,0.1,2221677.0,18.0,2.076923076923077,6.461538461538462,2.769230769230769,0.9230769230769231,0.6923076923076923,1.8461538461538463,3.230769230769231,40.753846153846155,42.77348472692308,True,0.028696846446780718,28.696846446780718,164.0,33.0
