Player,Team,Pos,G,MP,PTS,AST,ORB,DRB,TRB,STL,BLK,TOV,PF,FG%,3P,3PA,3P%,eFG%,PER,TS%,USG%,OBPM,DBPM,BPM,VORP,Salary,PTS_36,AST_36,DRB_36,ORB_36,STL_36,BLK_36,TOV_36,PF_36,Per36Impact,Impact_Score,Is_Combined_Team_Row,Value,Value_Score,Impact_Rank,Value_Rank,PLAYER_ID,HeadshotURL
Isaiah Jackson,2TM,C,55.0,16.5,6.7,0.9,2.1,3.2,5.3,0.7,0.9,1.1,2.7,0.637,0.0,0.1,0.0,0.637,17.3,0.653,16.2,-1.9,0.8,-1.2,0.2,7600000.0,14.61818181818182,1.963636363636364,6.9818181818181815,4.581818181818182,1.5272727272727271,1.963636363636364,2.4,5.890909090909091,38.4109090909091,39.68048388000001,True,0.0143936243239065,14.393624323906588,191.0,186.0,1630543.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630543.png
Miles McBride,NYK,SG,41.0,26.3,12.0,2.6,0.6,1.9,2.4,0.9,0.2,0.8,1.7,0.423,2.7,6.6,0.413,0.562,13.1,0.578,18.2,1.0,0.2,1.2,0.9,4333333.0,16.425855513307987,3.55893536121673,2.600760456273764,0.8212927756653992,1.231939163498099,0.2737642585551331,1.0950570342205324,2.326996197718631,35.1171102661597,39.653575966539925,False,0.0190489624665278,19.04896246652785,192.0,111.0,1630540.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630540.png
Klay Thompson,DAL,SF,69.0,21.7,11.7,1.4,0.3,1.8,2.1,0.5,0.3,0.9,1.0,0.393,2.9,7.6,0.383,0.532,11.4,0.541,22.7,0.2,-1.5,-1.4,0.2,16666667.0,19.410138248847925,2.32258064516129,2.986175115207373,0.4976958525345621,0.8294930875576038,0.4976958525345621,1.4930875576036866,1.6589861751152075,37.26082949308756,39.59449281013825,False,0.0096986303039272,9.698630303927292,193.0,313.0,202691.0,https://cdn.nba.com/headshots/nba/latest/1040x760/202691.png
Maxime Raynaud,SAC,C,74.0,26.5,12.5,1.4,1.9,5.6,7.5,0.5,0.5,1.3,2.3,0.571,0.3,1.0,0.324,0.589,16.0,0.619,18.2,-0.9,-1.6,-2.4,-0.2,1272870.0,16.9811320754717,1.90188679245283,7.60754716981132,2.581132075471698,0.6792452830188679,0.6792452830188679,1.7660377358490569,3.124528301886792,39.81735849056604,39.59127435169812,False,0.0350919462519939,35.09194625199397,194.0,12.0,1642875.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642875.png
Cam Whitmore,WAS,SF,21.0,16.9,9.2,0.7,0.9,1.9,2.8,0.7,0.4,0.9,1.2,0.456,0.8,2.7,0.286,0.503,13.7,0.528,23.7,-1.1,-2.1,-3.3,-0.1,3539760.0,19.597633136094675,1.4911242603550297,4.047337278106509,1.9171597633136097,1.4911242603550297,0.8520710059171599,1.9171597633136097,2.5562130177514795,39.48284023668639,39.49121845207101,False,0.0209900573357452,20.99005733574521,195.0,86.0,1641715.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641715.png
Quinten Post,GSW,PF,67.0,17.3,7.7,1.4,1.0,3.0,4.0,0.4,0.5,0.8,1.9,0.44,1.4,4.1,0.336,0.546,13.0,0.56,18.8,-1.0,-0.1,-1.1,0.3,1955377.0,16.023121387283236,2.9132947976878607,6.242774566473988,2.0809248554913293,0.8323699421965317,1.0404624277456649,1.6647398843930634,3.9537572254335256,38.10173410404624,39.481584000000005,False,0.028234449009394,28.23444900939404,196.0,35.0,1642366.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1642366.png
Jordan Poole,NOP,PG,39.0,23.9,13.4,3.1,0.2,1.7,2.0,0.6,0.4,1.8,2.3,0.372,2.5,7.4,0.333,0.48,11.5,0.53,25.1,-1.0,-2.6,-3.5,-0.4,31848215.0,20.184100418410043,4.669456066945607,2.560669456066946,0.301255230125523,0.9037656903765692,0.602510460251046,2.711297071129707,3.4644351464435146,39.42677824267782,39.419671537656896,False,0.0069850650191767,6.985065019176754,197.0,369.0,1629673.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629673.png
Moussa Diabaté,CHO,C,73.0,26.0,7.9,1.9,3.7,5.0,8.7,0.8,1.0,1.0,2.4,0.631,0.0,0.0,0.5,0.632,17.2,0.653,11.4,0.4,1.2,1.7,1.8,2270735.0,10.93846153846154,2.6307692307692303,6.923076923076923,5.123076923076923,1.1076923076923078,1.3846153846153846,1.3846153846153846,3.323076923076923,36.027692307692305,39.32741186769231,False,0.026098295218906,26.09829521890605,198.0,52.0,1631217.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631217.png
P.J. Washington,DAL,PF,56.0,31.0,14.2,1.8,1.5,5.5,7.0,1.0,1.1,1.7,2.1,0.45,1.4,4.2,0.325,0.508,13.1,0.537,20.1,-1.7,0.1,-1.6,0.2,14152174.0,16.490322580645163,2.0903225806451613,6.387096774193549,1.7419354838709675,1.161290322580645,1.2774193548387096,1.9741935483870967,2.438709677419355,38.380645161290325,39.31963655322581,False,0.010451964236875,10.45196423687502,199.0,290.0,1629023.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1629023.png
Vince Williams Jr.,2TM,SG,40.0,20.5,7.5,4.2,1.0,2.9,3.9,0.7,0.4,1.8,2.0,0.353,1.4,4.4,0.311,0.447,10.7,0.478,19.5,-1.5,0.5,-1.0,0.2,2301587.0,13.170731707317072,7.375609756097561,5.092682926829268,1.7560975609756098,1.2292682926829266,0.7024390243902439,3.1609756097560977,3.5121951219512195,38.1951219512195,39.19222353658535,True,0.025833675827723,25.83367582772304,200.0,55.0,1631246.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631246.png
Devin Vassell,SAS,SG,67.0,30.5,13.9,2.5,0.6,3.4,4.0,0.9,0.4,0.9,1.6,0.437,2.5,6.4,0.384,0.547,13.0,0.574,18.0,0.1,0.3,0.5,1.3,27000000.0,16.40655737704918,2.9508196721311477,4.0131147540983605,0.7081967213114754,1.0622950819672132,0.4721311475409836,1.0622950819672132,1.8885245901639345,35.89377049180328,39.17880399344263,False,0.0075399643440472,7.539964344047228,201.0,359.0,1630170.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630170.png
Karlo Matković,NOP,PF,62.0,14.7,5.7,0.8,1.2,2.5,3.7,0.4,0.9,0.5,1.7,0.604,0.6,1.5,0.422,0.685,16.5,0.696,13.1,0.2,0.4,0.7,0.6,1955377.0,13.95918367346939,1.959183673469388,6.122448979591836,2.938775510204082,0.979591836734694,2.204081632653061,1.2244897959183674,4.163265306122449,36.28163265306122,39.12611047346939,False,0.0279802393718319,27.980239371831924,202.0,36.0,1631255.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1631255.png
Cole Anthony,MIL,PG,35.0,15.1,6.7,3.5,0.5,2.0,2.5,0.6,0.3,1.9,2.1,0.424,0.6,2.1,0.306,0.472,10.7,0.483,25.8,-3.9,-0.9,-4.7,-0.4,5996274.0,15.973509933774835,8.344370860927153,4.768211920529802,1.1920529801324504,1.4304635761589404,0.7152317880794702,4.529801324503311,5.006622516556292,40.79205298013245,38.93544479205299,False,0.0159002665742894,15.90026657428949,203.0,153.0,1630175.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630175.png
Buddy Hield,2TM,SG,51.0,16.1,7.6,1.4,0.5,1.7,2.3,0.8,0.2,0.9,1.1,0.437,1.5,4.2,0.349,0.55,12.8,0.568,20.3,-0.9,-0.1,-1.0,0.2,9219512.0,16.993788819875775,3.130434782608695,3.801242236024844,1.1180124223602483,1.7888198757763971,0.4472049689440993,2.012422360248447,2.459627329192547,36.81614906832298,38.89563597763974,True,0.0128099345267464,12.809934526746485,204.0,223.0,1627741.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1627741.png
Isaiah Stewart,DET,C,58.0,22.7,10.0,1.1,1.7,3.3,5.0,0.3,1.6,1.2,2.9,0.55,0.7,2.1,0.333,0.6,15.2,0.632,16.6,-1.1,1.1,0.0,0.7,15000000.0,15.859030837004406,1.7444933920704848,5.233480176211454,2.696035242290749,0.4757709251101322,2.537444933920705,1.9030837004405288,4.599118942731277,36.09515418502203,38.799691897797366,False,0.0100180373705432,10.018037370543205,205.0,302.0,1630191.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630191.png
Ryan Kalkbrenner,CHO,C,69.0,21.4,7.6,0.8,2.4,3.0,5.5,0.5,1.5,0.9,1.6,0.753,0.0,0.1,0.0,0.753,17.9,0.762,11.6,0.5,1.3,1.8,1.4,2296274.0,12.78504672897196,1.3457943925233646,5.046728971962617,4.037383177570093,0.8411214953271029,2.5233644859813085,1.5140186915887852,2.6915887850467293,34.2588785046729,38.78909057102804,False,0.0255975112915349,25.59751129153493,206.0,57.0,1641750.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1641750.png
Myles Turner,MIL,C,71.0,26.9,11.9,1.5,1.1,4.3,5.3,0.7,1.6,1.2,2.6,0.44,2.1,5.4,0.383,0.553,14.2,0.584,18.6,-0.9,0.0,-0.9,0.5,25318251.0,15.92565055762082,2.0074349442379185,5.754646840148699,1.472118959107807,0.9368029739776952,2.1412639405204463,1.6059479553903344,3.479553903345725,36.8631970260223,38.59702463643122,False,0.0076707349487811,7.670734948781178,207.0,357.0,1626167.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1626167.png
Julian Champagnie,SAS,SF,82.0,27.6,11.1,1.5,0.9,4.9,5.8,0.8,0.5,0.8,1.6,0.437,2.4,6.2,0.381,0.578,13.1,0.609,15.2,0.5,0.8,1.4,1.9,3000000.0,14.478260869565217,1.9565217391304348,6.391304347826088,1.1739130434782608,1.0434782608695652,0.6521739130434783,1.0434782608695652,2.0869565217391304,34.72826086956522,38.565898125,False,0.0222660316640084,22.266031664008437,208.0,72.0,1630577.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1630577.png
